Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
395299785107," New Rear, Driver Side Bumper Bracket For Kia Sportage 2017-2022",,CAR-KI1166107,1,FIXED_PRICE,USD,11.78,,,11.78,0,,,Mar-27-24 14:17:21 PDT,Apr-27-25 14:17:21 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395964711845,"New Front, Driver Side, Inner Fog Light Trim For BMW 535d xDrive 2014-2016",,CAR-BM1038140,0,FIXED_PRICE,USD,11.87,,,11.87,0,,,Dec-03-24 09:39:04 PST,May-03-25 09:39:04 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395258175904,"New Front, Passenger Side, Rear Section Fender Liner For Jaguar XK 2007-2015",,CAR-JA1249103,7,FIXED_PRICE,USD,12.02,,,12.02,0,,,Mar-09-24 11:29:02 PST,Apr-09-25 11:29:02 PDT,Fenders,33644,,,New,,,,,,US,,,
396249950773," New Front, Passenger Side Bumper Bracket For Toyota 4Runner 1996-1998",,TO1245101,0,FIXED_PRICE,USD,12.08,,,12.08,0,,,Feb-26-25 08:53:48 PST,Apr-26-25 08:53:48 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395550386307," Front, Driver Side, Interior Door Handle Trim For Mitsubishi Eclipse 1995-1999",,CAR-MI1358109,10,FIXED_PRICE,USD,12.12,,,12.12,0,,,Jul-23-24 13:56:36 PDT,Apr-23-25 13:56:36 PDT,Door Handles,179851,,,New,,,,,,US,,,
396249955011, Passenger Side Headlight Washer Cover For Mercedes Benz C230 2002-2004,,CAR-MB1049107,0,FIXED_PRICE,USD,12.13,,,12.13,0,,,Feb-26-25 08:54:45 PST,Apr-26-25 08:54:45 PDT,"Washer Pumps, Reservoirs & Nozzles",174112,,,New,,,,,,US,,,
395255896284,"New Front, Passenger Side, Outer Fog Light Trim For BMW 535d xDrive 2014-2016",,CAR-BM1039141,2,FIXED_PRICE,USD,12.17,,,12.17,0,,,Mar-08-24 10:44:51 PST,Apr-08-25 10:44:51 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395258172161,"New Front, Passenger Side, Rear Section Fender Liner For Mercury Sable 1996-1999",,CAR-FO1251118,5,FIXED_PRICE,USD,12.18,,,12.18,0,,,Mar-09-24 11:23:52 PST,Apr-09-25 11:23:52 PDT,Fenders,33644,,,New,,,,,,US,,,
395628900463," Front, Passenger Side Fender Extension For Toyota Highlander 2014-2019",,TO1291117,0,FIXED_PRICE,USD,12.18,,,12.18,0,,,Aug-29-24 15:52:58 PDT,Apr-29-25 15:52:58 PDT,Fenders,33644,,,New,,,,,,US,,,
395551469955, Driver Side Headlight Washer Cover For Mercedes Benz R500 2006-2010,,CAR-MB1048125,0,FIXED_PRICE,USD,12.23,,,12.23,0,,,Jul-24-24 02:15:03 PDT,Apr-24-25 02:15:03 PDT,"Washer Pumps, Reservoirs & Nozzles",174112,,,New,,,,,,US,,,
395255852020,"New Front, Passenger Side, Inner Fog Light Trim For BMW 535d xDrive 2014-2016",,CAR-BM1039140,2,FIXED_PRICE,USD,12.27,,,12.27,0,,,Mar-08-24 10:16:08 PST,Apr-08-25 10:16:08 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395299782480," New Front, Driver Side Bumper Bracket For Honda Accord 2013-2017",,CAR-HO1042115,10,FIXED_PRICE,USD,12.33,,,12.33,0,,,Mar-27-24 14:13:27 PDT,Apr-27-25 14:13:27 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395234806137,"New Front, Passenger Side, Lower Side Marker For Chevrolet C1500 1988-1993",,CAR-GM2551105,10,FIXED_PRICE,USD,12.35,,,12.35,0,,,Feb-29-24 05:25:46 PST,Apr-29-25 05:25:46 PDT,Side Marker Light Assemblies,33715,,,New,,,,,,US,,,
395299782479," New Front, Passenger Side Bumper Bracket For Honda Accord 2013-2017",,CAR-HO1043115,10,FIXED_PRICE,USD,12.37,,,12.37,0,,,Mar-27-24 14:13:27 PDT,Apr-27-25 14:13:27 PDT,Bumpers & Reinforcements,33640,,,New,,,,,,US,,,
395258173300,"New Front, Driver Side Fender Liner For Pontiac Aztek 2001-2005",,CAR-GM1248158,4,FIXED_PRICE,USD,12.38,,,12.38,0,,,Mar-09-24 11:25:26 PST,Apr-09-25 11:25:26 PDT,Fenders,33644,,,New,,,,,,US,,,
395258192860,"New Front, Driver Side Fender Liner For Dodge Caravan 1984-1995",,CAR-CH1250113,9,FIXED_PRICE,USD,12.38,,,12.38,0,,,Mar-09-24 11:41:43 PST,Apr-09-25 11:41:43 PDT,Fenders,33644,,,New,,,,,,US,,,
